"HUM";"TEMP";"CO";"Time"
"18.00%";"20.00°";" 28.04";"2:34:14 PM"
"18.00%";"20.00°";" 31.44";"2:34:29 PM"
"18.00%";"20.00°";" 39.08";"2:34:44 PM"
"18.00%";"20.00°";" 39.08";"2:35:00 PM"
"18.00%";"20.00°";" 35.12";"2:35:15 PM"
"18.00%";"20.00°";" 39.08";"2:35:30 PM"
"18.00%";"20.00°";" 31.44";"2:35:46 PM"
"18.00%";"20.00°";" 31.44";"2:36:01 PM"
"18.00%";"20.00°";" 31.44";"2:36:16 PM"
"18.00%";"20.00°";" 31.44";"2:36:32 PM"
"18.00%";"20.00°";" 31.44";"2:36:47 PM"
"18.00%";"20.00°";" 31.44";"2:37:02 PM"
"18.00%";"20.00°";" 35.12";"2:37:18 PM"
"18.00%";"20.00°";" 31.44";"2:37:33 PM"
"18.00%";"20.00°";" 28.04";"2:37:48 PM"
"18.00%";"20.00°";" 31.44";"2:38:04 PM"
"18.00%";"20.00°";" 28.04";"2:38:19 PM"
"18.00%";"20.00°";" 28.04";"2:38:34 PM"
"18.00%";"20.00°";" 28.04";"2:38:49 PM"
"18.00%";"20.00°";" 31.44";"2:39:05 PM"
"18.00%";"20.00°";" 31.44";"2:39:20 PM"
"18.00%";"20.00°";" 24.89";"2:39:35 PM"
"18.00%";"20.00°";" 24.89";"2:39:51 PM"
"18.00%";"20.00°";" 28.04";"2:40:06 PM"
"18.00%";"20.00°";" 28.04";"2:40:21 PM"
"18.00%";"20.00°";" 31.44";"2:40:37 PM"
"18.00%";"20.00°";" 31.44";"2:40:52 PM"
"18.00%";"20.00°";" 31.44";"2:41:07 PM"
"18.00%";"20.00°";" 31.44";"2:41:23 PM"
"18.00%";"20.00°";" 31.44";"2:41:38 PM"
"18.00%";"20.00°";" 31.44";"2:41:53 PM"
"18.00%";"20.00°";" 31.44";"2:42:08 PM"
"18.00%";"20.00°";" 31.44";"2:42:24 PM"
"18.00%";"20.00°";" 31.44";"2:42:39 PM"
"18.00%";"20.00°";" 31.44";"2:42:54 PM"
"18.00%";"20.00°";" 31.44";"2:43:10 PM"
"18.00%";"20.00°";" 31.44";"2:43:25 PM"
"18.00%";"20.00°";" 31.44";"2:43:40 PM"
"18.00%";"20.00°";" 31.44";"2:43:56 PM"
"18.00%";"20.00°";" 35.12";"2:44:11 PM"
"18.00%";"20.00°";" 31.44";"2:44:26 PM"
"18.00%";"20.00°";" 31.44";"2:44:42 PM"
"18.00%";"20.00°";" 31.44";"2:44:57 PM"
"18.00%";"20.00°";" 31.44";"2:45:12 PM"
"18.00%";"20.00°";" 31.44";"2:45:28 PM"
"18.00%";"20.00°";" 35.12";"2:45:43 PM"
"18.00%";"20.00°";" 35.12";"2:45:58 PM"
"18.00%";"20.00°";" 31.44";"2:46:13 PM"
