"HUM";"Temp";"CO";"Time"
"17.00%";"22.00°";" 17.47";"4:47:29 PM"
"17.00%";"22.00°";" 19.26";"4:47:44 PM"
"17.00%";"22.00°";" 19.26";"4:48:00 PM"
"17.00%";"22.00°";" 17.47";"4:48:15 PM"
"17.00%";"22.00°";" 17.47";"4:48:30 PM"
"17.00%";"22.00°";" 21.16";"4:48:45 PM"
"17.00%";"22.00°";" 17.47";"4:49:01 PM"
"17.00%";"22.00°";" 17.47";"4:49:16 PM"
"17.00%";"22.00°";" 19.26";"4:49:31 PM"
"17.00%";"22.00°";" 17.47";"4:49:47 PM"
"17.00%";"22.00°";" 19.26";"4:50:02 PM"
"17.00%";"22.00°";" 19.26";"4:50:17 PM"
"17.00%";"22.00°";" 19.26";"4:50:33 PM"
"17.00%";"22.00°";" 19.26";"4:50:48 PM"
"17.00%";"22.00°";" 21.16";"4:51:03 PM"
"17.00%";"22.00°";" 21.16";"4:51:19 PM"
"17.00%";"22.00°";" 21.16";"4:51:34 PM"
"17.00%";"22.00°";" 19.26";"4:51:49 PM"
"17.00%";"22.00°";" 19.26";"4:52:05 PM"
"17.00%";"22.00°";" 19.26";"4:52:20 PM"
"17.00%";"22.00°";" 19.26";"4:52:35 PM"
"17.00%";"22.00°";" 19.26";"4:52:50 PM"
"17.00%";"22.00°";" 19.26";"4:53:06 PM"
"17.00%";"22.00°";" 19.26";"4:53:21 PM"
"17.00%";"22.00°";" 17.47";"4:53:36 PM"
"17.00%";"22.00°";" 17.47";"4:53:52 PM"
"17.00%";"22.00°";" 21.16";"4:54:07 PM"
"17.00%";"22.00°";" 17.47";"4:54:22 PM"
"17.00%";"22.00°";" 21.16";"4:54:38 PM"
"17.00%";"22.00°";" 19.26";"4:54:53 PM"
"17.00%";"22.00°";" 21.16";"4:55:08 PM"
"17.00%";"22.00°";" 21.16";"4:55:24 PM"
"17.00%";"22.00°";" 21.16";"4:55:39 PM"
"17.00%";"22.00°";" 19.26";"4:55:54 PM"
"17.00%";"22.00°";" 19.26";"4:56:10 PM"
"17.00%";"22.00°";" 19.26";"4:56:25 PM"
"17.00%";"22.00°";" 21.16";"4:56:40 PM"
"17.00%";"22.00°";" 17.47";"4:56:55 PM"
"17.00%";"22.00°";" 19.26";"4:57:11 PM"
"17.00%";"22.00°";" 19.26";"4:57:26 PM"
"17.00%";"22.00°";" 19.26";"4:57:41 PM"
"17.00%";"22.00°";" 19.26";"4:57:57 PM"
"17.00%";"22.00°";" 19.26";"4:58:12 PM"
"17.00%";"22.00°";" 19.26";"4:58:27 PM"
"17.00%";"22.00°";" 19.26";"4:58:43 PM"
"17.00%";"22.00°";" 17.47";"4:58:58 PM"
"17.00%";"22.00°";" 19.26";"4:59:13 PM"
"17.00%";"22.00°";" 19.26";"4:59:29 PM"
"17.00%";"22.00°";" 19.26";"4:59:44 PM"
"17.00%";"22.00°";" 21.16";"4:59:59 PM"
"17.00%";"22.00°";" 21.16";"5:00:14 PM"
"17.00%";"22.00°";" 19.26";"5:00:30 PM"
"17.00%";"22.00°";" 19.26";"5:00:45 PM"
"17.00%";"22.00°";" 19.26";"5:01:00 PM"
"17.00%";"22.00°";" 17.47";"5:01:16 PM"
"17.00%";"22.00°";" 19.26";"5:01:31 PM"
"17.00%";"22.00°";" 19.26";"5:01:46 PM"
"17.00%";"22.00°";" 19.26";"5:02:02 PM"
"17.00%";"22.00°";" 19.26";"5:02:17 PM"
"17.00%";"22.00°";" 17.47";"5:02:32 PM"
"17.00%";"22.00°";" 19.26";"5:02:48 PM"
"17.00%";"22.00°";" 17.47";"5:03:03 PM"
"17.00%";"22.00°";" 21.16";"5:03:18 PM"
