"Hum";"Temp";"GAS";"Time"
"16.00%";"24.00°C";" 27.88";"5:12:00 PM"
"16.00%";"24.00°C";" 30.34";"5:12:03 PM"
"16.00%";"24.00°C";" 30.34";"5:12:07 PM"
"16.00%";"24.00°C";" 30.34";"5:12:10 PM"
"16.00%";"24.00°C";" 30.34";"5:12:13 PM"
"16.00%";"24.00°C";" 27.88";"5:12:16 PM"
"16.00%";"24.00°C";" 30.34";"5:12:20 PM"
"Humidi";"perat";" LPG G";"5:12:26 PM"
"16.00%";"24.00";" 27.88";"5:12:29 PM"
"16.00%";"24.00";" 27.88";"5:12:32 PM"
"16.00%";"24.00";" 25.56";"5:12:36 PM"
"16.00%";"24.00";" 27.88";"5:12:39 PM"
"16.00%";"24.00";" 25.56";"5:12:42 PM"
"16.00%";"24.00";" 27.88";"5:12:46 PM"
"16.00%";"24.00";" 27.88";"5:12:49 PM"
"16.00%";"24.00";" 27.88";"5:12:52 PM"
"16.00%";"24.00";" 27.88";"5:12:55 PM"
"16.00%";"24.00";" 25.56";"5:12:59 PM"
"16.00%";"24.00";" 27.88";"5:13:02 PM"
"16.00%";"24.00";" 25.56";"5:13:05 PM"
"16.00%";"24.00";" 25.56";"5:13:09 PM"
"16.00%";"24.00";" 25.56";"5:13:12 PM"
"16.00%";"24.00";" 25.56";"5:13:15 PM"
"16.00%";"24.00";" 25.56";"5:13:19 PM"
"16.00%";"24.00";" 25.56";"5:13:22 PM"
"16.00%";"24.00";" 27.88";"5:13:25 PM"
"16.00%";"24.00";" 30.34";"5:13:29 PM"
"16.00%";"24.00";" 27.88";"5:13:32 PM"
"16.00%";"24.00";" 30.34";"5:13:35 PM"
"16.00%";"24.00";" 30.34";"5:13:39 PM"
"16.00%";"24.00";" 30.34";"5:13:42 PM"
"16.00%";"24.00";" 25.56";"5:13:45 PM"
"16.00%";"24.00";" 30.34";"5:13:48 PM"
"16.00%";"24.00";" 35.69";"5:13:52 PM"
"16.00%";"24.00";" 32.94";"5:13:55 PM"
"16.00%";"24.00";" 30.34";"5:13:58 PM"
"16.00%";"24.00";" 35.69";"5:14:02 PM"
"16.00%";"24.00";" 32.94";"5:14:05 PM"
"16.00%";"24.00";" 35.69";"5:14:08 PM"
"16.00%";"24.00";" 35.69";"5:14:12 PM"
"16.00%";"24.00";" 30.34";"5:14:15 PM"
"16.00%";"24.00";" 30.34";"5:14:18 PM"
"16.00%";"24.00";" 30.34";"5:14:22 PM"
"16.00%";"24.00";" 35.69";"5:14:25 PM"
"16.00%";"24.00";" 32.94";"5:14:28 PM"
"16.00%";"24.00";" 30.34";"5:14:31 PM"
"16.00%";"24.00";" 30.34";"5:14:35 PM"
"16.00%";"24.00";" 30.34";"5:14:38 PM"
"16.00%";"24.00";" 27.88";"5:14:41 PM"
"16.00%";"24.00";" 27.88";"5:14:45 PM"
"16.00%";"24.00";" 27.88";"5:14:48 PM"
"16.00%";"24.00";" 27.88";"5:14:51 PM"
"16.00%";"24.00";" 27.88";"5:14:55 PM"
"16.00%";"24.00";" 27.88";"5:14:58 PM"
"16.00%";"24.00";" 35.69";"5:15:01 PM"
"16.00%";"24.00";" 30.34";"5:15:05 PM"
"16.00%";"24.00";" 30.34";"5:15:08 PM"
"16.00%";"24.00";" 32.94";"5:15:11 PM"
"16.00%";"24.00";" 30.34";"5:15:15 PM"
"16.00%";"24.00";" 30.34";"5:15:18 PM"
"16.00%";"24.00";" 30.34";"5:15:21 PM"
"16.00%";"24.00";" 27.88";"5:15:24 PM"
"16.00%";"24.00";" 30.34";"5:15:28 PM"
"16.00%";"24.00";" 30.34";"5:15:31 PM"
"16.00%";"24.00";" 30.34";"5:15:34 PM"
"16.00%";"24.00";" 30.34";"5:15:38 PM"
"16.00%";"24.00";" 30.34";"5:15:41 PM"
"16.00%";"24.00";" 30.34";"5:15:44 PM"
"16.00%";"24.00";" 30.34";"5:15:48 PM"
"16.00%";"24.00";" 27.88";"5:15:51 PM"
"16.00%";"24.00";" 30.34";"5:15:54 PM"
"16.00%";"24.00";" 30.34";"5:15:58 PM"
"16.00%";"24.00";" 30.34";"5:16:01 PM"
"16.00%";"24.00";" 30.34";"5:16:04 PM"
"16.00%";"24.00";" 30.34";"5:16:08 PM"
"16.00%";"24.00";" 27.88";"5:16:11 PM"
"16.00%";"24.00";" 30.34";"5:16:14 PM"
"16.00%";"24.00";" 30.34";"5:16:17 PM"
"Humidi";"perat";" LPG G";"5:16:22 PM"
"16.00%";"24.00";" 27.88";"5:16:25 PM"
"16.00%";"24.00";" 27.88";"5:16:29 PM"
"16.00%";"24.00";" 25.56";"5:16:32 PM"
"16.00%";"24.00";" 27.88";"5:16:35 PM"
"Humidi";"perat";" LPG G";"5:16:39 PM"
"16.00%";"24.00";" 29.35";"5:16:42 PM"
"16.00%";"24.00";" 29.35";"5:16:46 PM"
"16.00%";"24.00";" 29.35";"5:16:49 PM"
"16.00%";"24.00";" 29.35";"5:16:52 PM"
"16.00%";"24.00";" 31.94";"5:16:55 PM"
"16.00%";"24.00";" 29.35";"5:16:59 PM"
"16.00%";"24.00";" 29.35";"5:17:02 PM"
"16.00%";"24.00";" 29.35";"5:17:05 PM"
"16.00%";"24.00";" 29.35";"5:17:09 PM"
"16.00%";"24.00";" 26.91";"5:17:12 PM"
"16.00%";"24.00";" 31.94";"5:17:15 PM"
"16.00%";"24.00";" 31.94";"5:17:19 PM"
"16.00%";"24.00";" 29.35";"5:17:22 PM"
"Humidi";"perat";" LPG G";"5:17:27 PM"
"16.00%";"24.00";" 29.11";"5:17:31 PM"
"16.00%";"24.00";" 26.69";"5:17:34 PM"
"16.00%";"24.00";" 29.11";"5:17:37 PM"
"16.00%";"24.00";" 29.11";"5:17:41 PM"
"16.00%";"24.00";" 29.11";"5:17:44 PM"
"16.00%";"24.00";" 29.11";"5:17:47 PM"
"16.00%";"24.00";" 29.11";"5:17:51 PM"
"16.00%";"24.00";" 26.69";"5:17:54 PM"
"16.00%";"24.00";" 26.69";"5:17:57 PM"
"16.00%";"24.00";" 31.67";"5:18:01 PM"
"16.00%";"24.00";" 29.11";"5:18:04 PM"
"16.00%";"24.00";" 31.67";"5:18:07 PM"
"16.00%";"24.00";" 29.11";"5:18:11 PM"
"16.00%";"24.00";" 29.11";"5:18:14 PM"
"16.00%";"24.00";" 31.67";"5:18:17 PM"
"16.00%";"24.00";" 31.67";"5:18:20 PM"
"Humidi";"perat";" LPG G";"5:18:25 PM"
"16.00%";"24.00";" 28.36";"5:18:28 PM"
"16.00%";"24.00";" 28.36";"5:18:32 PM"
"16.00%";"24.00";" 30.86";"5:18:35 PM"
"16.00%";"24.00";" 30.86";"5:18:38 PM"
"16.00%";"24.00";" 30.86";"5:18:41 PM"
"16.00%";"24.00";" 28.36";"5:18:45 PM"
"16.00%";"24.00";" 28.36";"5:18:48 PM"
"16.00%";"24.00";" 30.86";"5:18:51 PM"
"16.00%";"24.00";" 30.86";"5:18:55 PM"
"16.00%";"24.00";" 30.86";"5:18:58 PM"
"16.00%";"24.00";" 28.36";"5:19:01 PM"
"Humidi";"perat";" LPG G";"5:19:07 PM"
"16.00%";"24.00";" 32.48";"5:19:10 PM"
"16.00%";"24.00";" 27.37";"5:19:13 PM"
"16.00%";"24.00";" 32.48";"5:19:17 PM"
"16.00%";"24.00";" 29.85";"5:19:20 PM"
"16.00%";"24.00";" 29.85";"5:19:23 PM"
"16.00%";"24.00";" 27.37";"5:19:27 PM"
"16.00%";"24.00";" 27.37";"5:19:30 PM"
"16.00%";"24.00";" 29.85";"5:19:33 PM"
"16.00%";"24.00";" 27.37";"5:19:37 PM"
"16.00%";"24.00";" 27.37";"5:19:40 PM"
"16.00%";"24.00";" 27.37";"5:19:43 PM"
"16.00%";"24.00";" 27.37";"5:19:47 PM"
"Humidi";"perat";" LPG G";"5:19:50 PM"
"16.00%";"24.00";" 32.25";"5:19:53 PM"
"16.00%";"24.00";" 29.57";"5:19:56 PM"
"16.00%";"24.00";" 29.57";"5:20:00 PM"
"16.00%";"24.00";" 32.25";"5:20:03 PM"
"16.00%";"24.00";" 29.57";"5:20:06 PM"
"16.00%";"24.00";" 29.57";"5:20:10 PM"
"16.00%";"24.00";" 29.57";"5:20:13 PM"
"16.00%";"24.00";" 29.57";"5:20:16 PM"
"16.00%";"24.00";" 29.57";"5:20:19 PM"
"16.00%";"24.00";" 29.57";"5:20:23 PM"
"16.00%";"24.00";" 29.57";"5:20:26 PM"
"16.00%";"24.00";" 29.57";"5:20:29 PM"
"16.00%";"24.00";" 29.57";"5:20:33 PM"
"16.00%";"24.00";" 29.57";"5:20:36 PM"
"16.00%";"24.00";" 29.57";"5:20:39 PM"
"16.00%";"24.00";" 29.57";"5:20:43 PM"
"16.00%";"24.00";" 32.25";"5:20:46 PM"
"16.00%";"24.00";" 29.57";"5:20:49 PM"
"16.00%";"24.00";" 29.57";"5:20:53 PM"
"Humidi";"perat";" LPG G";"5:20:58 PM"
"16.00%";"24.00";" 31.97";"5:21:02 PM"
"16.00%";"24.00";" 29.31";"5:21:05 PM"
"16.00%";"24.00";" 31.97";"5:21:08 PM"
"16.00%";"24.00";" 31.97";"5:21:11 PM"
"16.00%";"24.00";" 31.97";"5:21:15 PM"
"16.00%";"24.00";" 29.31";"5:21:18 PM"
"16.00%";"24.00";" 31.97";"5:21:21 PM"
"16.00%";"24.00";" 31.97";"5:21:25 PM"
"16.00%";"24.00";" 31.97";"5:21:28 PM"
"16.00%";"24.00";" 29.31";"5:21:31 PM"
"16.00%";"24.00";" 31.97";"5:21:35 PM"
"16.00%";"24.00";" 31.97";"5:21:38 PM"
"16.00%";"24.00";" 31.97";"5:21:41 PM"
"16.00%";"24.00";" 29.31";"5:21:45 PM"
"16.00%";"24.00";" 31.97";"5:21:48 PM"
"16.00%";"24.00";" 29.31";"5:21:51 PM"
"Humidi";"perat";" LPG G";"5:21:55 PM"
"16.00%";"24.00";" 31.95";"5:21:58 PM"
"16.00%";"24.00";" 26.93";"5:22:02 PM"
"16.00%";"24.00";" 26.93";"5:22:05 PM"
"16.00%";"24.00";" 26.93";"5:22:08 PM"
"Humidi";"perat";" LPG G";"5:22:14 PM"
"16.00%";"24.00";" 28.57";"5:22:17 PM"
"16.00%";"24.00";" 28.57";"5:22:20 PM"
"16.00%";"24.00";" 31.16";"5:22:24 PM"
"16.00%";"24.00";" 31.16";"5:22:27 PM"
"16.00%";"24.00";" 28.57";"5:22:30 PM"
"16.00%";"24.00";" 28.57";"5:22:34 PM"
"16.00%";"24.00";" 28.57";"5:22:37 PM"
"16.00%";"24.00";" 28.57";"5:22:40 PM"
"16.00%";"24.00";" 31.16";"5:22:44 PM"
"16.00%";"24.00";" 28.57";"5:22:47 PM"
"16.00%";"24.00";" 31.16";"5:22:50 PM"
"16.00%";"24.00";" 31.16";"5:22:54 PM"
"16.00%";"24.00";" 206.8";"5:22:57 PM"
"16.00%";"24.00";" 86.37";"5:23:00 PM"
"16.00%";"24.00";" 50.18";"5:23:03 PM"
"19.00%";"24.00";" 46.57";"5:23:07 PM"
"40.00%";"24.00";" 39.89";"5:23:10 PM"
"46.00%";"24.00";" 39.89";"5:23:13 PM"
"35.00%";"24.00";" 39.89";"5:23:17 PM"
"17.00%";"24.00";" 39.89";"5:23:20 PM"
"16.00%";"24.00";" 39.89";"5:23:23 PM"
"16.00%";"24.00";" 39.89";"5:23:27 PM"
"16.00%";"24.00";" 36.82";"5:23:30 PM"
"15.00%";"25.00";" 39.89";"5:23:33 PM"
"16.00%";"24.00";" 36.82";"5:23:37 PM"
"16.00%";"24.00";" 36.82";"5:23:40 PM"
"16.00%";"24.00";" 33.91";"5:23:43 PM"
"16.00%";"24.00";" 36.82";"5:23:47 PM"
"16.00%";"24.00";" 36.82";"5:23:50 PM"
"16.00%";"24.00";" 39.89";"5:23:53 PM"
"16.00%";"24.00";" 36.82";"5:23:56 PM"
"16.00%";"24.00";" 39.89";"5:24:00 PM"
"16.00%";"24.00";" 33.91";"5:24:03 PM"
"Humidi";"perat";" LPG G";"5:24:06 PM"
"16.00%";"24.00";" 29.88";"5:24:09 PM"
"Humidi";"perat";" LPG G";"5:24:13 PM"
"16.00%";"24.00";" 29.16";"5:24:16 PM"
"16.00%";"24.00";" 29.16";"5:24:20 PM"
"16.00%";"24.00";" 31.60";"5:24:23 PM"
"16.00%";"24.00";" 31.60";"5:24:26 PM"
"16.00%";"24.00";" 31.60";"5:24:30 PM"
"16.00%";"24.00";" 29.16";"5:24:33 PM"
"16.00%";"24.00";" 31.60";"5:24:36 PM"
"16.00%";"24.00";" 29.16";"5:24:40 PM"
"16.00%";"24.00";" 26.86";"5:24:43 PM"
"16.00%";"24.00";" 26.86";"5:24:46 PM"
"16.00%";"24.00";" 29.16";"5:24:50 PM"
"16.00%";"24.00";" 29.16";"5:24:53 PM"
"16.00%";"24.00";" 29.16";"5:24:56 PM"
"16.00%";"24.00";" 26.86";"5:24:59 PM"
"16.00%";"24.00";" 26.86";"5:25:03 PM"
"16.00%";"24.00";" 26.86";"5:25:06 PM"
"16.00%";"24.00";" 26.86";"5:25:09 PM"
"16.00%";"24.00";" 26.86";"5:25:13 PM"
"16.00%";"24.00";" 26.86";"5:25:16 PM"
"16.00%";"24.00";" 29.16";"5:25:19 PM"
"16.00%";"24.00";" 26.86";"5:25:23 PM"
"16.00%";"24.00";" 26.86";"5:25:26 PM"
"16.00%";"24.00";" 26.86";"5:25:29 PM"
"16.00%";"24.00";" 29.16";"5:25:33 PM"
"16.00%";"24.00";" 26.86";"5:25:36 PM"
"16.00%";"24.00";" 29.16";"5:25:39 PM"
"16.00%";"24.00";" 26.86";"5:25:43 PM"
"16.00%";"24.00";" 26.86";"5:25:46 PM"
"16.00%";"24.00";" 26.86";"5:25:49 PM"
"16.00%";"24.00";" 26.86";"5:25:52 PM"
"16.00%";"24.00";" 29.16";"5:25:56 PM"
"16.00%";"24.00";" 26.86";"5:25:59 PM"
"16.00%";"24.00";" 26.86";"5:26:02 PM"
"16.00%";"24.00";" 26.86";"5:26:06 PM"
"16.00%";"24.00";" 29.16";"5:26:09 PM"
"16.00%";"24.00";" 29.16";"5:26:12 PM"
"16.00%";"24.00";" 26.86";"5:26:16 PM"
"16.00%";"24.00";" 26.86";"5:26:19 PM"
"16.00%";"24.00";" 29.16";"5:26:22 PM"
"16.00%";"24.00";" 29.16";"5:26:26 PM"
"16.00%";"24.00";" 26.86";"5:26:29 PM"
"16.00%";"24.00";" 26.86";"5:26:32 PM"
"16.00%";"24.00";" 26.86";"5:26:36 PM"
"16.00%";"24.00";" 26.86";"5:26:39 PM"
"16.00%";"24.00";" 26.86";"5:26:42 PM"
"16.00%";"24.00";" 26.86";"5:26:45 PM"
"16.00%";"24.00";" 26.86";"5:26:49 PM"
"16.00%";"24.00";" 26.86";"5:26:52 PM"
"16.00%";"24.00";" 26.86";"5:26:55 PM"
"16.00%";"24.00";" 26.86";"5:26:59 PM"
"16.00%";"24.00";" 26.86";"5:27:02 PM"
"16.00%";"24.00";" 26.86";"5:27:05 PM"
"16.00%";"24.00";" 26.86";"5:27:09 PM"
"16.00%";"24.00";" 26.86";"5:27:12 PM"
"16.00%";"24.00";" 26.86";"5:27:15 PM"
"16.00%";"24.00";" 26.86";"5:27:19 PM"
"16.00%";"24.00";" 26.86";"5:27:22 PM"
"16.00%";"24.00";" 26.86";"5:27:25 PM"
"16.00%";"24.00";" 24.68";"5:27:28 PM"
"16.00%";"24.00";" 26.86";"5:27:32 PM"
"16.00%";"24.00";" 26.86";"5:27:35 PM"
"16.00%";"24.00";" 26.86";"5:27:38 PM"
"16.00%";"24.00";" 26.86";"5:27:42 PM"
"16.00%";"24.00";" 26.86";"5:27:45 PM"
"16.00%";"24.00";" 26.86";"5:27:48 PM"
"16.00%";"24.00";" 24.68";"5:27:52 PM"
"16.00%";"24.00";" 24.68";"5:27:55 PM"
"16.00%";"24.00";" 22.63";"5:27:58 PM"
"16.00%";"24.00";" 22.63";"5:28:02 PM"
"16.00%";"24.00";" 24.68";"5:28:05 PM"
"16.00%";"24.00";" 22.63";"5:28:08 PM"
"16.00%";"24.00";" 22.63";"5:28:12 PM"
"16.00%";"24.00";" 24.68";"5:28:15 PM"
"16.00%";"24.00";" 24.68";"5:28:18 PM"
"16.00%";"24.00";" 24.68";"5:28:21 PM"
"16.00%";"24.00";" 24.68";"5:28:25 PM"
"16.00%";"24.00";" 22.63";"5:28:28 PM"
"16.00%";"24.00";" 24.68";"5:28:31 PM"
"16.00%";"24.00";" 26.86";"5:28:35 PM"
"16.00%";"24.00";" 24.68";"5:28:38 PM"
"16.00%";"24.00";" 24.68";"5:28:41 PM"
"16.00%";"24.00";" 22.63";"5:28:45 PM"
"16.00%";"24.00";" 24.68";"5:28:48 PM"
"16.00%";"24.00";" 22.63";"5:28:51 PM"
"16.00%";"24.00";" 22.63";"5:28:55 PM"
"16.00%";"24.00";" 24.68";"5:28:58 PM"
"16.00%";"24.00";" 22.63";"5:29:01 PM"
"16.00%";"24.00";" 22.63";"5:29:05 PM"
"16.00%";"24.00";" 24.68";"5:29:08 PM"
"16.00%";"24.00";" 22.63";"5:29:11 PM"
"16.00%";"24.00";" 22.63";"5:29:14 PM"
"16.00%";"24.00";" 22.63";"5:29:18 PM"
"16.00%";"24.00";" 22.63";"5:29:21 PM"
"16.00%";"24.00";" 22.63";"5:29:24 PM"
"16.00%";"24.00";" 22.63";"5:29:28 PM"
"16.00%";"24.00";" 24.68";"5:29:31 PM"
"16.00%";"24.00";" 22.63";"5:29:34 PM"
"16.00%";"24.00";" 22.63";"5:29:38 PM"
"16.00%";"24.00";" 24.68";"5:29:41 PM"
"16.00%";"24.00";" 22.63";"5:29:44 PM"
"16.00%";"24.00";" 24.68";"5:29:48 PM"
"16.00%";"24.00";" 24.68";"5:29:51 PM"
"16.00%";"24.00";" 22.63";"5:29:54 PM"
"16.00%";"24.00";" 22.63";"5:29:58 PM"
"16.00%";"24.00";" 22.63";"5:30:01 PM"
"16.00%";"24.00";" 22.63";"5:30:04 PM"
"16.00%";"24.00";" 24.68";"5:30:07 PM"
"16.00%";"24.00";" 22.63";"5:30:11 PM"
"16.00%";"24.00";" 22.63";"5:30:14 PM"
"16.00%";"24.00";" 24.68";"5:30:17 PM"
"16.00%";"24.00";" 24.68";"5:30:21 PM"
"16.00%";"24.00";" 22.63";"5:30:24 PM"
"16.00%";"24.00";" 22.63";"5:30:27 PM"
"16.00%";"24.00";" 22.63";"5:30:31 PM"
"16.00%";"24.00";" 22.63";"5:30:34 PM"
"16.00%";"24.00";" 24.68";"5:30:37 PM"
"16.00%";"24.00";" 22.63";"5:30:41 PM"
"16.00%";"24.00";" 24.68";"5:30:44 PM"
"16.00%";"24.00";" 22.63";"5:30:47 PM"
"16.00%";"24.00";" 22.63";"5:30:51 PM"
"16.00%";"24.00";" 22.63";"5:30:54 PM"
"16.00%";"24.00";" 22.63";"5:30:57 PM"
"16.00%";"24.00";" 22.63";"5:31:00 PM"
"16.00%";"24.00";" 22.63";"5:31:04 PM"
"16.00%";"24.00";" 22.63";"5:31:07 PM"
"16.00%";"24.00";" 22.63";"5:31:10 PM"
"16.00%";"24.00";" 22.63";"5:31:14 PM"
"16.00%";"24.00";" 22.63";"5:31:17 PM"
"16.00%";"24.00";" 24.68";"5:31:20 PM"
"16.00%";"24.00";" 22.63";"5:31:24 PM"
"16.00%";"24.00";" 22.63";"5:31:27 PM"
"16.00%";"24.00";" 24.68";"5:31:30 PM"
"16.00%";"24.00";" 22.63";"5:31:34 PM"
"16.00%";"24.00";" 22.63";"5:31:37 PM"
"16.00%";"24.00";" 22.63";"5:31:40 PM"
"16.00%";"24.00";" 22.63";"5:31:44 PM"
"16.00%";"24.00";" 22.63";"5:31:47 PM"
"16.00%";"24.00";" 22.63";"5:31:50 PM"
"16.00%";"24.00";" 22.63";"5:31:53 PM"
"16.00%";"24.00";" 24.68";"5:31:57 PM"
"16.00%";"24.00";" 22.63";"5:32:00 PM"
"16.00%";"24.00";" 22.63";"5:32:03 PM"
"16.00%";"24.00";" 22.63";"5:32:07 PM"
"16.00%";"24.00";" 22.63";"5:32:10 PM"
"16.00%";"24.00";" 22.63";"5:32:13 PM"
"16.00%";"24.00";" 22.63";"5:32:17 PM"
"16.00%";"24.00";" 22.63";"5:32:20 PM"
"16.00%";"24.00";" 22.63";"5:32:23 PM"
"16.00%";"24.00";" 22.63";"5:32:27 PM"
"16.00%";"24.00";" 24.68";"5:32:30 PM"
"16.00%";"24.00";" 22.63";"5:32:33 PM"
"16.00%";"24.00";" 24.68";"5:32:37 PM"
"16.00%";"24.00";" 22.63";"5:32:40 PM"
"16.00%";"24.00";" 22.63";"5:32:43 PM"
"16.00%";"24.00";" 22.63";"5:32:46 PM"
"16.00%";"24.00";" 22.63";"5:32:50 PM"
"16.00%";"24.00";" 24.68";"5:32:53 PM"
"16.00%";"24.00";" 22.63";"5:32:56 PM"
"16.00%";"24.00";" 22.63";"5:33:00 PM"
"16.00%";"24.00";" 22.63";"5:33:03 PM"
"16.00%";"24.00";" 22.63";"5:33:06 PM"
"16.00%";"24.00";" 22.63";"5:33:10 PM"
"16.00%";"24.00";" 22.63";"5:33:13 PM"
"16.00%";"24.00";" 22.63";"5:33:16 PM"
"16.00%";"24.00";" 24.68";"5:33:20 PM"
"16.00%";"24.00";" 26.86";"5:33:23 PM"
"16.00%";"24.00";" 24.68";"5:33:26 PM"
"16.00%";"24.00";" 26.86";"5:33:30 PM"
"16.00%";"24.00";" 26.86";"5:33:33 PM"
"16.00%";"24.00";" 29.16";"5:33:36 PM"
"16.00%";"24.00";" 26.86";"5:33:39 PM"
"16.00%";"24.00";" 26.86";"5:33:43 PM"
"16.00%";"24.00";" 26.86";"5:33:46 PM"
"16.00%";"24.00";" 26.86";"5:33:49 PM"
"16.00%";"24.00";" 26.86";"5:33:53 PM"
"16.00%";"24.00";" 26.86";"5:33:56 PM"
"16.00%";"24.00";" 22.63";"5:33:59 PM"
"16.00%";"24.00";" 22.63";"5:34:03 PM"
"16.00%";"24.00";" 24.68";"5:34:06 PM"
"16.00%";"24.00";" 24.68";"5:34:09 PM"
"16.00%";"24.00";" 22.63";"5:34:13 PM"
"16.00%";"24.00";" 24.68";"5:34:16 PM"
"16.00%";"24.00";" 24.68";"5:34:19 PM"
"16.00%";"24.00";" 24.68";"5:34:23 PM"
"16.00%";"24.00";" 22.63";"5:34:26 PM"
"16.00%";"24.00";" 24.68";"5:34:29 PM"
"16.00%";"24.00";" 24.68";"5:34:32 PM"
"16.00%";"24.00";" 22.63";"5:34:36 PM"
"16.00%";"24.00";" 22.63";"5:34:39 PM"
"16.00%";"24.00";" 22.63";"5:34:42 PM"
"16.00%";"24.00";" 24.68";"5:34:46 PM"
"16.00%";"24.00";" 22.63";"5:34:49 PM"
"16.00%";"24.00";" 22.63";"5:34:52 PM"
"16.00%";"24.00";" 22.63";"5:34:56 PM"
"16.00%";"24.00";" 26.86";"5:34:59 PM"
"16.00%";"24.00";" 26.86";"5:35:02 PM"
"16.00%";"24.00";" 26.86";"5:35:06 PM"
"16.00%";"24.00";" 22.63";"5:35:09 PM"
"16.00%";"24.00";" 22.63";"5:35:12 PM"
"16.00%";"24.00";" 22.63";"5:35:16 PM"
"16.00%";"24.00";" 22.63";"5:35:19 PM"
"16.00%";"24.00";" 22.63";"5:35:22 PM"
"16.00%";"24.00";" 22.63";"5:35:25 PM"
"16.00%";"24.00";" 22.63";"5:35:29 PM"
"16.00%";"24.00";" 26.86";"5:35:32 PM"
"16.00%";"24.00";" 22.63";"5:35:35 PM"
"16.00%";"24.00";" 22.63";"5:35:39 PM"
"16.00%";"24.00";" 26.86";"5:35:42 PM"
"16.00%";"24.00";" 26.86";"5:35:45 PM"
"16.00%";"24.00";" 26.86";"5:35:49 PM"
