"Hum";"Temp";"GAS";"Time"
"16.00%";"24.00°";" 30.05";"3:43:13 PM"
"16.00%";"24.00°";" 30.05";"3:43:17 PM"
"16.00%";"24.00°";" 30.05";"3:43:20 PM"
"16.00%";"24.00°";" 30.05";"3:43:23 PM"
"16.00%";"24.00°";" 33.12";"3:43:27 PM"
"16.00%";"24.00°";" 33.12";"3:43:30 PM"
"16.00%";"24.00°";" 30.05";"3:43:33 PM"
"16.00%";"24.00°";" 30.05";"3:43:37 PM"
"16.00%";"24.00°";" 33.12";"3:43:40 PM"
"16.00%";"24.00°";" 36.39";"3:43:43 PM"
"16.00%";"24.00°";" 33.12";"3:43:47 PM"
"16.00%";"24.00°";" 33.12";"3:43:50 PM"
"16.00%";"24.00°";" 33.12";"3:43:53 PM"
"16.00%";"24.00°";" 33.12";"3:43:56 PM"
"16.00%";"24.00°";" 33.12";"3:44:00 PM"
"16.00%";"24.00°";" 33.12";"3:44:03 PM"
"16.00%";"24.00°";" 30.05";"3:44:06 PM"
"16.00%";"24.00°";" 33.12";"3:44:10 PM"
"16.00%";"24.00°";" 30.05";"3:44:13 PM"
"16.00%";"24.00°";" 30.05";"3:44:16 PM"
"16.00%";"24.00°";" 36.39";"3:44:20 PM"
"16.00%";"24.00°";" 33.12";"3:44:23 PM"
"16.00%";"24.00°";" 33.12";"3:44:26 PM"
"16.00%";"24.00°";" 33.12";"3:44:30 PM"
"16.00%";"24.00°";" 33.12";"3:44:33 PM"
"16.00%";"24.00°";" 30.05";"3:44:36 PM"
"16.00%";"24.00°";" 36.39";"3:44:40 PM"
"16.00%";"24.00°";" 33.12";"3:44:43 PM"
"16.00%";"24.00°";" 33.12";"3:44:46 PM"
"16.00%";"24.00°";" 33.12";"3:44:50 PM"
"16.00%";"24.00°";" 36.39";"3:44:53 PM"
"16.00%";"24.00°";" 33.12";"3:44:56 PM"
"16.00%";"24.00°";" 36.39";"3:44:59 PM"
"16.00%";"24.00°";" 36.39";"3:45:03 PM"
"16.00%";"24.00°";" 33.12";"3:45:06 PM"
"16.00%";"24.00°";" 36.39";"3:45:09 PM"
"16.00%";"24.00°";" 33.12";"3:45:13 PM"
"16.00%";"24.00°";" 36.39";"3:45:16 PM"
"16.00%";"24.00°";" 36.39";"3:45:19 PM"
"16.00%";"24.00°";" 36.39";"3:45:23 PM"
"16.00%";"24.00°";" 36.39";"3:45:26 PM"
"16.00%";"24.00°";" 36.39";"3:45:29 PM"
"16.00%";"24.00°";" 33.12";"3:45:33 PM"
"16.00%";"24.00°";" 36.39";"3:45:36 PM"
"16.00%";"24.00°";" 36.39";"3:45:39 PM"
"16.00%";"24.00°";" 36.39";"3:45:43 PM"
"16.00%";"24.00°";" 36.39";"3:45:46 PM"
"16.00%";"24.00°";" 36.39";"3:45:49 PM"
"16.00%";"24.00°";" 36.39";"3:45:52 PM"
"16.00%";"24.00°";" 36.39";"3:45:56 PM"
"16.00%";"24.00°";" 36.39";"3:45:59 PM"
"16.00%";"24.00°";" 36.39";"3:46:02 PM"
"16.00%";"24.00°";" 36.39";"3:46:06 PM"
"16.00%";"24.00°";" 36.39";"3:46:09 PM"
"16.00%";"24.00°";" 36.39";"3:46:12 PM"
"16.00%";"24.00°";" 36.39";"3:46:16 PM"
"16.00%";"24.00°";" 36.39";"3:46:19 PM"
"16.00%";"24.00°";" 36.39";"3:46:22 PM"
"16.00%";"24.00°";" 36.39";"3:46:26 PM"
"16.00%";"24.00°";" 36.39";"3:46:29 PM"
"16.00%";"24.00°";" 36.39";"3:46:32 PM"
"16.00%";"24.00°";" 36.39";"3:46:36 PM"
"16.00%";"24.00°";" 36.39";"3:46:39 PM"
"16.00%";"24.00°";" 36.39";"3:46:42 PM"
"16.00%";"24.00°";" 36.39";"3:46:46 PM"
"16.00%";"24.00°";" 36.39";"3:46:49 PM"
"16.00%";"24.00°";" 36.39";"3:46:52 PM"
"16.00%";"24.00°";" 36.39";"3:46:55 PM"
"16.00%";"24.00°";" 36.39";"3:46:59 PM"
"16.00%";"24.00°";" 36.39";"3:47:02 PM"
"16.00%";"24.00°";" 36.39";"3:47:05 PM"
"16.00%";"24.00°";" 36.39";"3:47:09 PM"
"16.00%";"24.00°";" 33.12";"3:47:12 PM"
"16.00%";"24.00°";" 33.12";"3:47:15 PM"
"16.00%";"24.00°";" 36.39";"3:47:19 PM"
"16.00%";"24.00°";" 36.39";"3:47:22 PM"
"16.00%";"24.00°";" 36.39";"3:47:25 PM"
"16.00%";"24.00°";" 36.39";"3:47:29 PM"
"16.00%";"24.00°";" 36.39";"3:47:32 PM"
"16.00%";"24.00°";" 36.39";"3:47:35 PM"
"16.00%";"24.00°";" 36.39";"3:47:39 PM"
"16.00%";"24.00°";" 36.39";"3:47:42 PM"
"16.00%";"24.00°";" 36.39";"3:47:45 PM"
"16.00%";"24.00°";" 36.39";"3:47:49 PM"
"16.00%";"24.00°";" 39.89";"3:47:52 PM"
"16.00%";"24.00°";" 36.39";"3:47:55 PM"
"16.00%";"24.00°";" 36.39";"3:47:58 PM"
"16.00%";"24.00°";" 36.39";"3:48:02 PM"
"16.00%";"24.00°";" 36.39";"3:48:05 PM"
"16.00%";"24.00°";" 33.12";"3:48:08 PM"
"16.00%";"24.00°";" 33.12";"3:48:12 PM"
"16.00%";"24.00°";" 36.39";"3:48:15 PM"
"16.00%";"24.00°";" 33.12";"3:48:18 PM"
"16.00%";"24.00°";" 33.12";"3:48:22 PM"
"16.00%";"24.00°";" 36.39";"3:48:25 PM"
"16.00%";"24.00°";" 33.12";"3:48:28 PM"
"16.00%";"24.00°";" 36.39";"3:48:32 PM"
"16.00%";"24.00°";" 36.39";"3:48:35 PM"
"16.00%";"24.00°";" 36.39";"3:48:38 PM"
"16.00%";"24.00°";" 36.39";"3:48:42 PM"
"16.00%";"24.00°";" 36.39";"3:48:45 PM"
"16.00%";"24.00°";" 36.39";"3:48:48 PM"
"16.00%";"24.00°";" 33.12";"3:48:52 PM"
"16.00%";"24.00°";" 33.12";"3:48:55 PM"
"16.00%";"24.00°";" 36.39";"3:48:58 PM"
"16.00%";"24.00°";" 33.12";"3:49:01 PM"
"16.00%";"24.00°";" 36.39";"3:49:05 PM"
"16.00%";"24.00°";" 33.12";"3:49:08 PM"
"16.00%";"24.00°";" 30.05";"3:49:11 PM"
"16.00%";"24.00°";" 36.39";"3:49:15 PM"
"16.00%";"24.00°";" 30.05";"3:49:18 PM"
"16.00%";"24.00°";" 33.12";"3:49:21 PM"
"16.00%";"24.00°";" 33.12";"3:49:25 PM"
"16.00%";"24.00°";" 33.12";"3:49:28 PM"
"16.00%";"24.00°";" 33.12";"3:49:31 PM"
"16.00%";"24.00°";" 33.12";"3:49:35 PM"
"16.00%";"24.00°";" 30.05";"3:49:38 PM"
"16.00%";"24.00°";" 33.12";"3:49:41 PM"
"16.00%";"24.00°";" 33.12";"3:49:45 PM"
"16.00%";"24.00°";" 30.05";"3:49:48 PM"
"16.00%";"24.00°";" 36.39";"3:49:51 PM"
"16.00%";"24.00°";" 36.39";"3:49:55 PM"
"16.00%";"24.00°";" 33.12";"3:49:58 PM"
"16.00%";"24.00°";" 30.05";"3:50:01 PM"
"16.00%";"24.00°";" 33.12";"3:50:04 PM"
"16.00%";"24.00°";" 36.39";"3:50:08 PM"
"16.00%";"24.00°";" 33.12";"3:50:11 PM"
"16.00%";"24.00°";" 33.12";"3:50:14 PM"
"16.00%";"24.00°";" 36.39";"3:50:18 PM"
"16.00%";"24.00°";" 33.12";"3:50:21 PM"
"16.00%";"24.00°";" 36.39";"3:50:24 PM"
"16.00%";"24.00°";" 36.39";"3:50:28 PM"
"16.00%";"24.00°";" 36.39";"3:50:31 PM"
"16.00%";"24.00°";" 36.39";"3:50:34 PM"
"16.00%";"24.00°";" 36.39";"3:50:38 PM"
"16.00%";"24.00°";" 36.39";"3:50:41 PM"
"16.00%";"24.00°";" 36.39";"3:50:44 PM"
"16.00%";"24.00°";" 36.39";"3:50:48 PM"
"16.00%";"24.00°";" 33.12";"3:50:51 PM"
"16.00%";"24.00°";" 30.05";"3:50:54 PM"
"16.00%";"24.00°";" 33.12";"3:50:58 PM"
"16.00%";"24.00°";" 30.05";"3:51:01 PM"
"16.00%";"24.00°";" 36.39";"3:51:04 PM"
"16.00%";"24.00°";" 33.12";"3:51:07 PM"
"16.00%";"24.00°";" 36.39";"3:51:11 PM"
"16.00%";"24.00°";" 36.39";"3:51:14 PM"
"16.00%";"24.00°";" 33.12";"3:51:17 PM"
"16.00%";"24.00°";" 33.12";"3:51:21 PM"
"16.00%";"24.00°";" 33.12";"3:51:24 PM"
"16.00%";"24.00°";" 33.12";"3:51:27 PM"
"16.00%";"24.00°";" 36.39";"3:51:31 PM"
"16.00%";"24.00°";" 33.12";"3:51:34 PM"
"16.00%";"24.00°";" 36.39";"3:51:37 PM"
"16.00%";"24.00°";" 33.12";"3:51:41 PM"
"16.00%";"24.00°";" 33.12";"3:51:44 PM"
"16.00%";"24.00°";" 33.12";"3:51:47 PM"
"16.00%";"24.00°";" 36.39";"3:51:51 PM"
"16.00%";"24.00°";" 30.05";"3:51:54 PM"
"16.00%";"24.00°";" 33.12";"3:51:57 PM"
"16.00%";"24.00°";" 33.12";"3:52:01 PM"
"16.00%";"24.00°";" 36.39";"3:52:04 PM"
"16.00%";"24.00°";" 36.39";"3:52:07 PM"
"16.00%";"24.00°";" 36.39";"3:52:10 PM"
"16.00%";"24.00°";" 33.12";"3:52:14 PM"
"16.00%";"24.00°";" 30.05";"3:52:17 PM"
"16.00%";"24.00°";" 33.12";"3:52:20 PM"
"16.00%";"24.00°";" 30.05";"3:52:24 PM"
"16.00%";"24.00°";" 33.12";"3:52:27 PM"
"16.00%";"24.00°";" 33.12";"3:52:30 PM"
"16.00%";"24.00°";" 36.39";"3:52:34 PM"
"16.00%";"24.00°";" 33.12";"3:52:37 PM"
"16.00%";"24.00°";" 36.39";"3:52:40 PM"
"16.00%";"24.00°";" 30.05";"3:52:44 PM"
"16.00%";"24.00°";" 30.05";"3:52:47 PM"
"16.00%";"24.00°";" 33.12";"3:52:50 PM"
"16.00%";"24.00°";" 33.12";"3:52:54 PM"
"16.00%";"24.00°";" 33.12";"3:52:57 PM"
"16.00%";"24.00°";" 30.05";"3:53:00 PM"
"16.00%";"24.00°";" 30.05";"3:53:04 PM"
"16.00%";"24.00°";" 36.39";"3:53:07 PM"
"16.00%";"24.00°";" 33.12";"3:53:10 PM"
"16.00%";"24.00°";" 36.39";"3:53:13 PM"
"16.00%";"24.00°";" 36.39";"3:53:17 PM"
"16.00%";"24.00°";" 36.39";"3:53:20 PM"
"16.00%";"24.00°";" 33.12";"3:53:23 PM"
"16.00%";"24.00°";" 33.12";"3:53:27 PM"
"16.00%";"24.00°";" 33.12";"3:53:30 PM"
"16.00%";"24.00°";" 30.05";"3:53:33 PM"
"16.00%";"24.00°";" 33.12";"3:53:37 PM"
"16.00%";"24.00°";" 33.12";"3:53:40 PM"
"16.00%";"24.00°";" 36.39";"3:53:43 PM"
"16.00%";"24.00°";" 36.39";"3:53:47 PM"
"16.00%";"24.00°";" 36.39";"3:53:50 PM"
"16.00%";"24.00°";" 30.05";"3:53:53 PM"
"16.00%";"24.00°";" 33.12";"3:53:57 PM"
"16.00%";"24.00°";" 33.12";"3:54:00 PM"
"16.00%";"24.00°";" 30.05";"3:54:03 PM"
"16.00%";"24.00°";" 33.12";"3:54:07 PM"
"16.00%";"24.00°";" 36.39";"3:54:10 PM"
"16.00%";"24.00°";" 36.39";"3:54:13 PM"
"16.00%";"24.00°";" 36.39";"3:54:16 PM"
"16.00%";"24.00°";" 36.39";"3:54:20 PM"
"16.00%";"24.00°";" 36.39";"3:54:23 PM"
"16.00%";"24.00°";" 33.12";"3:54:26 PM"
"16.00%";"24.00°";" 36.39";"3:54:30 PM"
"16.00%";"24.00°";" 33.12";"3:54:33 PM"
"16.00%";"24.00°";" 36.39";"3:54:36 PM"
"16.00%";"24.00°";" 36.39";"3:54:40 PM"
"16.00%";"24.00°";" 33.12";"3:54:43 PM"
"16.00%";"24.00°";" 33.12";"3:54:46 PM"
"16.00%";"24.00°";" 33.12";"3:54:50 PM"
"16.00%";"24.00°";" 36.39";"3:54:53 PM"
"16.00%";"24.00°";" 33.12";"3:54:56 PM"
"16.00%";"24.00°";" 33.12";"3:55:00 PM"
"16.00%";"24.00°";" 36.39";"3:55:03 PM"
"16.00%";"24.00°";" 33.12";"3:55:06 PM"
"16.00%";"24.00°";" 33.12";"3:55:09 PM"
"16.00%";"24.00°";" 36.39";"3:55:13 PM"
"16.00%";"24.00°";" 36.39";"3:55:16 PM"
"16.00%";"24.00°";" 36.39";"3:55:19 PM"
"16.00%";"24.00°";" 36.39";"3:55:23 PM"
"16.00%";"24.00°";" 36.39";"3:55:26 PM"
"16.00%";"24.00°";" 36.39";"3:55:29 PM"
"16.00%";"24.00°";" 36.39";"3:55:33 PM"
"16.00%";"24.00°";" 36.39";"3:55:36 PM"
"16.00%";"24.00°";" 33.12";"3:55:39 PM"
"16.00%";"24.00°";" 33.12";"3:55:43 PM"
"16.00%";"24.00°";" 36.39";"3:55:46 PM"
"16.00%";"24.00°";" 36.39";"3:55:49 PM"
"16.00%";"24.00°";" 33.12";"3:55:53 PM"
"16.00%";"24.00°";" 30.05";"3:55:56 PM"
"16.00%";"24.00°";" 33.12";"3:55:59 PM"
"16.00%";"24.00°";" 30.05";"3:56:03 PM"
"16.00%";"24.00°";" 33.12";"3:56:06 PM"
"16.00%";"24.00°";" 30.05";"3:56:09 PM"
"16.00%";"24.00°";" 30.05";"3:56:12 PM"
"16.00%";"24.00°";" 36.39";"3:56:16 PM"
"16.00%";"24.00°";" 33.12";"3:56:19 PM"
"16.00%";"24.00°";" 30.05";"3:56:22 PM"
"16.00%";"24.00°";" 33.12";"3:56:26 PM"
"16.00%";"24.00°";" 33.12";"3:56:29 PM"
"16.00%";"24.00°";" 30.05";"3:56:32 PM"
"16.00%";"24.00°";" 33.12";"3:56:36 PM"
"16.00%";"24.00°";" 33.12";"3:56:39 PM"
"16.00%";"24.00°";" 30.05";"3:56:42 PM"
"16.00%";"24.00°";" 33.12";"3:56:46 PM"
"16.00%";"24.00°";" 33.12";"3:56:49 PM"
"16.00%";"24.00°";" 33.12";"3:56:52 PM"
"16.00%";"24.00°";" 33.12";"3:56:56 PM"
"16.00%";"24.00°";" 30.05";"3:56:59 PM"
"16.00%";"24.00°";" 30.05";"3:57:02 PM"
"16.00%";"24.00°";" 30.05";"3:57:06 PM"
"16.00%";"24.00°";" 30.05";"3:57:09 PM"
"16.00%";"24.00°";" 30.05";"3:57:12 PM"
"16.00%";"24.00°";" 33.12";"3:57:15 PM"
"16.00%";"24.00°";" 30.05";"3:57:19 PM"
"16.00%";"24.00°";" 33.12";"3:57:22 PM"
"16.00%";"24.00°";" 36.39";"3:57:25 PM"
"16.00%";"24.00°";" 36.39";"3:57:29 PM"
"16.00%";"24.00°";" 33.12";"3:57:32 PM"
"16.00%";"24.00°";" 36.39";"3:57:35 PM"
"16.00%";"24.00°";" 36.39";"3:57:39 PM"
"16.00%";"24.00°";" 33.12";"3:57:42 PM"
"16.00%";"24.00°";" 36.39";"3:57:45 PM"
"16.00%";"24.00°";" 33.12";"3:57:49 PM"
"16.00%";"24.00°";" 36.39";"3:57:52 PM"
"16.00%";"24.00°";" 36.39";"3:57:55 PM"
"16.00%";"24.00°";" 36.39";"3:57:59 PM"
"16.00%";"24.00°";" 36.39";"3:58:02 PM"
"16.00%";"24.00°";" 36.39";"3:58:05 PM"
"16.00%";"24.00°";" 36.39";"3:58:09 PM"
"16.00%";"24.00°";" 36.39";"3:58:12 PM"
"16.00%";"24.00°";" 33.12";"3:58:15 PM"
"16.00%";"24.00°";" 33.12";"3:58:18 PM"
"16.00%";"24.00°";" 36.39";"3:58:22 PM"
"16.00%";"24.00°";" 36.39";"3:58:25 PM"
"16.00%";"24.00°";" 36.39";"3:58:28 PM"
"16.00%";"24.00°";" 36.39";"3:58:32 PM"
"16.00%";"24.00°";" 33.12";"3:58:35 PM"
"16.00%";"24.00°";" 33.12";"3:58:38 PM"
"16.00%";"24.00°";" 33.12";"3:58:42 PM"
"16.00%";"24.00°";" 33.12";"3:58:45 PM"
"16.00%";"24.00°";" 33.12";"3:58:48 PM"
"16.00%";"24.00°";" 33.12";"3:58:52 PM"
"16.00%";"24.00°";" 30.05";"3:58:55 PM"
"16.00%";"24.00°";" 36.39";"3:58:58 PM"
"16.00%";"24.00°";" 36.39";"3:59:02 PM"
"16.00%";"24.00°";" 36.39";"3:59:05 PM"
"16.00%";"24.00°";" 33.12";"3:59:08 PM"
"16.00%";"24.00°";" 36.39";"3:59:12 PM"
"16.00%";"24.00°";" 33.12";"3:59:15 PM"
"16.00%";"24.00°";" 36.39";"3:59:18 PM"
"16.00%";"24.00°";" 36.39";"3:59:21 PM"
"16.00%";"24.00°";" 36.39";"3:59:25 PM"
"16.00%";"24.00°";" 33.12";"3:59:28 PM"
"16.00%";"24.00°";" 36.39";"3:59:31 PM"
"16.00%";"24.00°";" 36.39";"3:59:35 PM"
"16.00%";"24.00°";" 36.39";"3:59:38 PM"
"16.00%";"24.00°";" 36.39";"3:59:41 PM"
"16.00%";"24.00°";" 36.39";"3:59:45 PM"
"16.00%";"24.00°";" 33.12";"3:59:48 PM"
"16.00%";"24.00°";" 36.39";"3:59:51 PM"
"16.00%";"24.00°";" 33.12";"3:59:55 PM"
"16.00%";"24.00°";" 36.39";"3:59:58 PM"
"16.00%";"24.00°";" 33.12";"4:00:01 PM"
"16.00%";"24.00°";" 30.05";"4:00:05 PM"
"16.00%";"24.00°";" 36.39";"4:00:08 PM"
"16.00%";"24.00°";" 36.39";"4:00:11 PM"
"16.00%";"24.00°";" 33.12";"4:00:14 PM"
"16.00%";"24.00°";" 33.12";"4:00:18 PM"
"16.00%";"24.00°";" 33.12";"4:00:21 PM"
"16.00%";"24.00°";" 33.12";"4:00:24 PM"
"16.00%";"24.00°";" 33.12";"4:00:28 PM"
"16.00%";"24.00°";" 36.39";"4:00:31 PM"
"16.00%";"24.00°";" 36.39";"4:00:34 PM"
"16.00%";"24.00°";" 33.12";"4:00:38 PM"
"16.00%";"24.00°";" 36.39";"4:00:41 PM"
"16.00%";"24.00°";" 36.39";"4:00:44 PM"
"16.00%";"24.00°";" 36.39";"4:00:48 PM"
"16.00%";"24.00°";" 36.39";"4:00:51 PM"
"16.00%";"24.00°";" 36.39";"4:00:54 PM"
"16.00%";"24.00°";" 36.39";"4:00:58 PM"
"16.00%";"24.00°";" 36.39";"4:01:01 PM"
"16.00%";"24.00°";" 33.12";"4:01:04 PM"
"16.00%";"24.00°";" 33.12";"4:01:08 PM"
"16.00%";"24.00°";" 33.12";"4:01:11 PM"
"16.00%";"24.00°";" 36.39";"4:01:14 PM"
"16.00%";"24.00°";" 36.39";"4:01:17 PM"
"16.00%";"24.00°";" 33.12";"4:01:21 PM"
"16.00%";"24.00°";" 33.12";"4:01:24 PM"
"16.00%";"24.00°";" 36.39";"4:01:27 PM"
"16.00%";"24.00°";" 36.39";"4:01:31 PM"
"16.00%";"24.00°";" 36.39";"4:01:34 PM"
"16.00%";"24.00°";" 36.39";"4:01:37 PM"
"16.00%";"24.00°";" 36.39";"4:01:41 PM"
"16.00%";"24.00°";" 36.39";"4:01:44 PM"
"16.00%";"24.00°";" 36.39";"4:01:47 PM"
"16.00%";"24.00°";" 36.39";"4:01:51 PM"
"16.00%";"24.00°";" 36.39";"4:01:54 PM"
"16.00%";"24.00°";" 36.39";"4:01:57 PM"
"16.00%";"24.00°";" 33.12";"4:02:01 PM"
"16.00%";"24.00°";" 33.12";"4:02:04 PM"
"16.00%";"24.00°";" 33.12";"4:02:07 PM"
"16.00%";"24.00°";" 33.12";"4:02:11 PM"
"16.00%";"24.00°";" 36.39";"4:02:14 PM"
"16.00%";"24.00°";" 33.12";"4:02:17 PM"
"16.00%";"24.00°";" 36.39";"4:02:20 PM"
"16.00%";"24.00°";" 33.12";"4:02:24 PM"
"16.00%";"24.00°";" 33.12";"4:02:27 PM"
"16.00%";"24.00°";" 36.39";"4:02:30 PM"
"16.00%";"24.00°";" 30.05";"4:02:34 PM"
"16.00%";"24.00°";" 33.12";"4:02:37 PM"
"16.00%";"24.00°";" 33.12";"4:02:40 PM"
"16.00%";"24.00°";" 36.39";"4:02:44 PM"
"16.00%";"24.00°";" 36.39";"4:02:47 PM"
"16.00%";"24.00°";" 33.12";"4:02:50 PM"
