"HUM";"Temp";"CO";"Time"
"15.00%";"26.00°";" 30.36";"10:57:45 AM"
"15.00%";"25.00°";" 27.96";"10:58:00 AM"
"15.00%";"25.00°";" 27.96";"10:58:15 AM"
"15.00%";"26.00°";" 30.36";"10:58:31 AM"
"15.00%";"26.00°";" 30.36";"10:58:46 AM"
"15.00%";"26.00°";" 30.36";"10:59:01 AM"
"15.00%";"25.00°";" 32.90";"10:59:16 AM"
"15.00%";"26.00°";" 30.36";"10:59:32 AM"
"15.00%";"26.00°";" 32.90";"10:59:47 AM"
"15.00%";"26.00°";" 35.58";"11:00:02 AM"
"15.00%";"25.00°";" 38.41";"11:00:18 AM"
"15.00%";"25.00°";" 38.41";"11:00:33 AM"
"15.00%";"25.00°";" 35.58";"11:00:48 AM"
"15.00%";"25.00°";" 32.90";"11:01:04 AM"
"15.00%";"25.00°";" 32.90";"11:01:19 AM"
"15.00%";"25.00°";" 32.90";"11:01:34 AM"
"15.00%";"25.00°";" 32.90";"11:01:50 AM"
"15.00%";"25.00°";" 32.90";"11:02:05 AM"
"15.00%";"25.00°";" 32.90";"11:02:20 AM"
"15.00%";"25.00°";" 32.90";"11:02:36 AM"
"15.00%";"25.00°";" 32.90";"11:02:51 AM"
"15.00%";"25.00°";" 32.90";"11:03:06 AM"
"15.00%";"25.00°";" 32.90";"11:03:21 AM"
"15.00%";"25.00°";" 32.90";"11:03:37 AM"
"15.00%";"26.00°";" 32.90";"11:03:52 AM"
"15.00%";"25.00°";" 32.90";"11:04:07 AM"
"15.00%";"26.00°";" 32.90";"11:04:23 AM"
"15.00%";"26.00°";" 30.36";"11:04:38 AM"
"15.00%";"26.00°";" 30.36";"11:04:53 AM"
"15.00%";"25.00°";" 32.90";"11:05:09 AM"
"15.00%";"26.00°";" 30.36";"11:05:24 AM"
"15.00%";"26.00°";" 32.90";"11:05:39 AM"
"15.00%";"25.00°";" 30.36";"11:05:55 AM"
"15.00%";"25.00°";" 30.36";"11:06:10 AM"
"15.00%";"25.00°";" 30.36";"11:06:25 AM"
"15.00%";"25.00°";" 30.36";"11:06:41 AM"
"15.00%";"25.00°";" 30.36";"11:06:56 AM"
"15.00%";"25.00°";" 32.90";"11:07:11 AM"
"15.00%";"25.00°";" 32.90";"11:07:26 AM"
"15.00%";"25.00°";" 38.41";"11:07:42 AM"
"15.00%";"25.00°";" 38.41";"11:07:57 AM"
"15.00%";"25.00°";" 32.90";"11:08:12 AM"
"15.00%";"25.00°";" 32.90";"11:08:28 AM"
"15.00%";"25.00°";" 32.90";"11:08:43 AM"
"15.00%";"25.00°";" 32.90";"11:08:58 AM"
"15.00%";"26.00°";" 32.90";"11:09:14 AM"
"15.00%";"26.00°";" 32.90";"11:09:29 AM"
"15.00%";"26.00°";" 32.90";"11:09:44 AM"
"15.00%";"26.00°";" 32.90";"11:10:00 AM"
"15.00%";"26.00°";" 27.96";"11:10:15 AM"
"15.00%";"26.00°";" 32.90";"11:10:30 AM"
"15.00%";"26.00°";" 32.90";"11:10:45 AM"
"15.00%";"26.00°";" 32.90";"11:11:01 AM"
"15.00%";"26.00°";" 35.58";"11:11:16 AM"
"15.00%";"26.00°";" 32.90";"11:11:31 AM"
"15.00%";"26.00°";" 32.90";"11:11:47 AM"
"15.00%";"26.00°";" 32.90";"11:12:02 AM"
"15.00%";"26.00°";" 27.96";"11:12:17 AM"
"15.00%";"26.00°";" 30.36";"11:12:33 AM"
"15.00%";"26.00°";" 32.90";"11:12:48 AM"
"15.00%";"26.00°";" 32.90";"11:13:03 AM"
"15.00%";"26.00°";" 32.90";"11:13:19 AM"
"15.00%";"26.00°";" 30.36";"11:13:34 AM"
"15.00%";"26.00°";" 32.90";"11:13:49 AM"
"15.00%";"26.00°";" 27.96";"11:14:05 AM"
"15.00%";"26.00°";" 32.90";"11:14:20 AM"
"15.00%";"26.00°";" 32.90";"11:14:35 AM"
"15.00%";"26.00°";" 32.90";"11:14:50 AM"
"15.00%";"26.00°";" 32.90";"11:15:06 AM"
"15.00%";"26.00°";" 30.36";"11:15:21 AM"
"15.00%";"26.00°";" 32.90";"11:15:36 AM"
"15.00%";"26.00°";" 30.36";"11:15:52 AM"
"15.00%";"26.00°";" 27.96";"11:16:07 AM"
"15.00%";"26.00°";" 27.96";"11:16:22 AM"
"15.00%";"26.00°";" 30.36";"11:16:38 AM"
"15.00%";"26.00°";" 27.96";"11:16:53 AM"
"15.00%";"26.00°";" 30.36";"11:17:08 AM"
"15.00%";"26.00°";" 27.96";"11:17:24 AM"
"15.00%";"26.00°";" 27.96";"11:17:39 AM"
"15.00%";"26.00°";" 27.96";"11:17:54 AM"
"15.00%";"26.00°";" 27.96";"11:18:10 AM"
"15.00%";"26.00°";" 25.70";"11:18:25 AM"
"15.00%";"26.00°";" 27.96";"11:18:40 AM"
"15.00%";"26.00°";" 27.96";"11:18:55 AM"
"15.00%";"26.00°";" 25.70";"11:19:11 AM"
"15.00%";"25.00°";" 25.70";"11:19:26 AM"
"15.00%";"25.00°";" 25.70";"11:19:41 AM"
