"HUM;""Temp"";""GAS"";""Time"""
"16.00%;""23.00°"";"" 26.63"";""2:18:47 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:19:02 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:19:18 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:19:33 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:19:48 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:04 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:19 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:20:34 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:20:50 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:21:05 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:20 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:36 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:21:51 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:06 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:22 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:37 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:22:52 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:07 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:23 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:23:38 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:23:53 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:09 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:24 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:24:39 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:24:55 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:25:10 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:25:25 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:25:41 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:25:56 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:26:11 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:26:26 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:26:42 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:26:57 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:12 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:28 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:27:43 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:27:58 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:28:14 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:28:29 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:28:44 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:00 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:15 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:29:30 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:29:46 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:01 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:16 PM"""
"16.00%;""23.00°"";"" 22.44"";""2:30:31 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:30:47 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:31:02 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:31:17 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:31:33 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:31:48 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:32:03 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:32:19 PM"""
"16.00%;""23.00°"";"" 26.63"";""2:32:34 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:32:49 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:33:05 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:33:20 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:33:35 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:33:51 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:34:06 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:34:21 PM"""
"16.00%;""23.00°"";"" 24.48"";""2:34:36 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:34:52 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:35:07 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:35:22 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:35:38 PM"""
"16.00%;""24.00°"";"" 26.63"";""2:35:53 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:36:08 PM"""
"16.00%;""24.00°"";"" 22.44"";""2:36:24 PM"""
"16.00%;""24.00°"";"" 24.48"";""2:36:39 PM"""
