"HUM;""TEMP"";""CO"";""Time"""
"17.00%;""22.00°"";"" 18.47"";""12:39:13 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:39:29 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:39:44 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:39:59 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:40:15 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:40:30 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:40:45 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:41:01 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:41:16 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:41:31 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:41:47 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:42:02 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:42:17 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:42:33 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:42:48 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:43:03 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:43:18 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:43:34 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:43:49 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:44:04 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:44:20 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:44:35 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:44:50 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:45:06 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:45:21 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:45:36 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:45:52 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:46:07 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:46:22 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:46:37 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:46:53 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:47:08 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:47:23 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:47:39 PM"""
"17.00%;""22.00°"";"" 14.03"";""12:47:54 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:48:09 PM"""
"17.00%;""22.00°"";"" 14.03"";""12:48:25 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:48:40 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:48:40 PM"""
